iter	Passed	Remaining
0	2	237
1	4	234
2	6	225
3	8	209
4	11	210
5	13	208
6	15	208
7	17	205
8	20	203
9	22	203
10	24	200
11	27	198
12	29	195
13	31	192
14	33	187
15	34	182
16	36	178
17	38	173
18	39	168
19	41	164
20	42	160
21	43	155
22	45	151
23	46	146
24	47	142
25	48	138
26	49	135
27	51	131
28	52	128
29	53	125
30	54	122
31	56	119
32	57	116
33	58	114
34	60	111
35	61	108
36	62	106
37	63	103
38	64	101
39	66	99
40	67	96
41	67	93
42	68	91
43	70	89
44	71	87
45	72	85
46	73	83
47	75	81
48	76	79
49	77	77
50	78	75
51	79	73
52	81	72
53	82	70
54	83	68
55	84	66
56	85	64
57	87	63
58	88	61
59	89	59
60	90	58
61	92	56
62	93	54
63	94	53
64	96	51
65	97	50
66	98	48
67	99	46
68	100	45
69	102	43
70	103	42
71	104	40
72	105	39
73	107	37
74	108	36
75	109	34
76	110	33
77	111	31
78	113	30
79	114	28
80	115	27
81	116	25
82	117	24
83	119	22
84	120	21
85	121	19
86	122	18
87	124	16
88	125	15
89	126	14
90	127	12
91	128	11
92	130	9
93	131	8
94	132	6
95	133	5
96	134	4
97	136	2
98	137	1
99	138	0
